sample,spot,u_ppm,th_ppm,th_u,group,terrane
194709,27.1,477.3,212.6,0.5,Albany-Fraser Orogen,Proterozoic Orogens
184160,24.1,623.0,67.0,0.1,Capricon Orogen,Proterozoic Orogens
194381,27.1,177.8,228.8,1.3,Musgraves,Proterozoic Orogens
189540,46.1,17.6,167.2,9.8,Musgraves,Proterozoic Orogens
194708,16.1,128.0,0.3,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194777,42.1,49.6,62.2,1.3,Basins,Basins
194784,10.1,307.9,15.6,0.1,Albany-Fraser Orogen,Proterozoic Orogens
194777,2.2,48.9,23.2,0.5,Basins,Basins
194381,59.1,154.3,345.6,2.3,Musgraves,Proterozoic Orogens
183496,18.1,39.0,69.0,1.9,Musgraves,Proterozoic Orogens
183587,7.2,268.0,152.0,0.6,Musgraves,Proterozoic Orogens
184125,6.1,1721.0,183.0,0.1,Albany-Fraser Orogen,Proterozoic Orogens
194422,2.1,148.0,27.0,0.2,Musgraves,Proterozoic Orogens
194393,25.1,119.4,231.5,2.0,Musgraves,Proterozoic Orogens
194725,15.1,52.2,0.1,0.0,Albany-Fraser Orogen,Proterozoic Orogens
182485,17.1,732.5,91.4,0.1,Albany-Fraser Orogen,Proterozoic Orogens
177910,17.2,82.0,20.0,0.3,Albany-Fraser Orogen,Proterozoic Orogens
183596,13.1,494.0,183.0,0.4,Musgraves,Proterozoic Orogens
192531,4.2,120.0,110.1,0.9,Albany-Fraser Orogen,Proterozoic Orogens
194749,4.2,11.2,2.4,0.2,Yilgarn,Archean Cratons
184334,25.1,799.6,0.9,0.0,Albany-Fraser Orogen,Proterozoic Orogens
192532,4.1,111.6,39.6,0.4,Albany-Fraser Orogen,Proterozoic Orogens
182475,4.1,118.6,11.3,0.1,Albany-Fraser Orogen,Proterozoic Orogens
194777,37.1,34.1,88.5,2.7,Basins,Basins
183496,30.1,68.0,98.0,1.5,Musgraves,Proterozoic Orogens
182485,10.1,496.8,19.0,0.0,Albany-Fraser Orogen,Proterozoic Orogens
