sample,spot,u_ppm,th_ppm,th_u,group,terrane
194735,4.1,79.3,0.3,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194777,78.1,127.1,78.8,0.6,Basins,Basins
184307,19.1,88.0,208.0,2.5,Albany-Fraser Orogen,Proterozoic Orogens
194702,7.1,42.9,2.4,0.1,Albany-Fraser Orogen,Proterozoic Orogens
183466,16.1,2604.0,61.0,0.0,Musgraves,Proterozoic Orogens
184128,13.1,7.0,0.0,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194707,16.1,75.5,0.7,0.0,Albany-Fraser Orogen,Proterozoic Orogens
185508,5.1,229.0,202.0,0.9,Musgraves,Proterozoic Orogens
194381,55.1,259.3,212.6,0.8,Musgraves,Proterozoic Orogens
194722,23.1,279.5,15.5,0.1,Albany-Fraser Orogen,Proterozoic Orogens
194422,52.1,100.0,27.0,0.3,Musgraves,Proterozoic Orogens
194422,34.2,128.0,16.0,0.1,Musgraves,Proterozoic Orogens
183726,24.1,48.7,157.8,3.3,Musgraves,Proterozoic Orogens
194381,28.1,530.3,420.3,0.8,Musgraves,Proterozoic Orogens
194714,45.1,64.9,70.2,1.1,Albany-Fraser Orogen,Proterozoic Orogens
112117,5.2,95.0,144.0,1.5,Yilgarn,Archean Cratons
112136,17.1,242.0,10.0,0.0,Leeuwin,Proterozoic Orogens
112144A,10.1,337.0,174.0,0.5,Leeuwin,Proterozoic Orogens
112160,9.2,59.0,253.0,4.3,Rudall,Proterozoic Orogens
118947,8.1,338.0,305.0,0.9,Yilgarn,Archean Cratons
142930,12.1,4295.0,64.0,0.0,Capricon Orogen,Proterozoic Orogens
174588,5.1,58.0,61.0,1.1,Musgraves,Proterozoic Orogens
184161,13.1,504.0,9.0,0.0,Capricon Orogen,Proterozoic Orogens
198532,10.2,442.8,9.7,0.0,Yilgarn,Archean Cratons
194381,12.1,393.7,136.6,0.4,Musgraves,Proterozoic Orogens
194708,13.1,152.2,0.5,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194702,2.1,43.2,0.1,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194714,4.1,158.8,155.3,1.0,Albany-Fraser Orogen,Proterozoic Orogens
174558,2.1,123.0,61.0,0.5,Musgraves,Proterozoic Orogens
174737,15.1,33.0,93.0,2.9,Musgraves,Proterozoic Orogens
187115,22.1,22.0,33.0,1.6,Musgraves,Proterozoic Orogens
189540,15.2,19.8,250.4,13.1,Musgraves,Proterozoic Orogens
182475,1.1,82.0,7.5,0.1,Albany-Fraser Orogen,Proterozoic Orogens
187174,15.1,1980.7,102.8,0.1,Musgraves,Proterozoic Orogens
194714,29.1,65.1,58.0,0.9,Albany-Fraser Orogen,Proterozoic Orogens
194777,29.1,44.5,39.0,0.9,Basins,Basins
174737,24.2,41.0,137.0,3.5,Musgraves,Proterozoic Orogens
194381,44.1,383.4,425.6,1.1,Musgraves,Proterozoic Orogens
174558,8.2,153.0,64.0,0.4,Musgraves,Proterozoic Orogens
184312,11.1,53.0,171.0,3.3,Albany-Fraser Orogen,Proterozoic Orogens
194422,15.2,132.0,11.0,0.1,Musgraves,Proterozoic Orogens
198532,9.2,604.3,9.2,0.0,Yilgarn,Archean Cratons
174737,10.2,40.0,124.0,3.2,Musgraves,Proterozoic Orogens
174737,22.2,26.0,80.0,3.2,Musgraves,Proterozoic Orogens
194778,14.1,38.5,194.0,5.2,Albany-Fraser Orogen,Proterozoic Orogens
194381,42.1,574.4,418.3,0.8,Musgraves,Proterozoic Orogens
174748,15.1,230.0,357.0,1.6,Musgraves,Proterozoic Orogens
185508,36.1,607.0,357.0,0.6,Musgraves,Proterozoic Orogens
194381,16.1,258.0,198.5,0.8,Musgraves,Proterozoic Orogens
182203,7.1,153.7,239.3,1.6,Albany-Fraser Orogen,Proterozoic Orogens
183466,6.1,2275.0,119.0,0.1,Musgraves,Proterozoic Orogens
194381,14.1,157.6,340.9,2.2,Musgraves,Proterozoic Orogens
182203,20.1,223.9,225.1,1.0,Albany-Fraser Orogen,Proterozoic Orogens
180867,46.1,130.4,426.8,3.4,Musgraves,Proterozoic Orogens
194433,1.1,596.7,16.8,0.0,Musgraves,Proterozoic Orogens
194381,64.1,246.1,135.9,0.6,Musgraves,Proterozoic Orogens
183596,11.2,1093.0,48.0,0.1,Musgraves,Proterozoic Orogens
192552,1.3,29.5,32.5,1.1,Albany-Fraser Orogen,Proterozoic Orogens
194722,17.1,194.9,5.0,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194433,4.1,307.0,124.9,0.4,Musgraves,Proterozoic Orogens
174558,9.1,189.0,107.0,0.6,Musgraves,Proterozoic Orogens
194422,41.1,106.0,22.0,0.2,Musgraves,Proterozoic Orogens
194743,1.1,45.1,0.1,0.0,Albany-Fraser Orogen,Proterozoic Orogens
198532,14.1,753.0,8.8,0.0,Yilgarn,Archean Cratons
182473,24.1,227.0,1.3,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194777,38.1,33.4,92.8,2.9,Basins,Basins
182435,20.1,28.1,74.2,2.7,Albany-Fraser Orogen,Proterozoic Orogens
194728,42.2,92.2,1.1,0.0,Albany-Fraser Orogen,Proterozoic Orogens
182203,22.1,88.3,142.8,1.7,Albany-Fraser Orogen,Proterozoic Orogens
174588,9.1,86.0,67.0,0.8,Musgraves,Proterozoic Orogens
185593,3.1,1578.0,418.0,0.3,Musgraves,Proterozoic Orogens
194381,8.1,138.1,346.8,2.6,Musgraves,Proterozoic Orogens
194740,8.1,70.9,2.4,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194714,34.1,150.2,192.6,1.3,Albany-Fraser Orogen,Proterozoic Orogens
180867,9.1,211.3,335.5,1.6,Musgraves,Proterozoic Orogens
105001,6.1,1441.0,913.0,0.6,Yilgarn,Archean Cratons
112177,5.1,157.0,106.0,0.7,Yilgarn,Archean Cratons
142930,18.1,4486.0,69.0,0.0,Capricon Orogen,Proterozoic Orogens
142985,3.1,381.0,219.0,0.6,Pilbara,Archean Cratons
184161,23.1,532.0,45.0,0.1,Capricon Orogen,Proterozoic Orogens
180867,12.1,245.0,263.2,1.1,Musgraves,Proterozoic Orogens
194381,20.1,150.3,352.7,2.4,Musgraves,Proterozoic Orogens
194722,6.1,164.1,15.5,0.1,Albany-Fraser Orogen,Proterozoic Orogens
194379,2.1,1701.4,211.2,0.1,Musgraves,Proterozoic Orogens
184307,24.1,125.0,320.0,2.7,Albany-Fraser Orogen,Proterozoic Orogens
194422,43.2,72.0,24.0,0.3,Musgraves,Proterozoic Orogens
194381,10.1,230.8,272.1,1.2,Musgraves,Proterozoic Orogens
194722,5.2,53.7,1.5,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194778,56.1,59.7,70.6,1.2,Albany-Fraser Orogen,Proterozoic Orogens
185593,1.1,562.0,295.0,0.5,Musgraves,Proterozoic Orogens
185593,32.1,578.0,276.0,0.5,Musgraves,Proterozoic Orogens
194381,51.1,343.6,329.9,1.0,Musgraves,Proterozoic Orogens
182435,7.1,23.5,54.4,2.4,Albany-Fraser Orogen,Proterozoic Orogens
191751,3.1,3330.1,130.0,0.0,Musgraves,Proterozoic Orogens
184312,22.1,115.0,268.0,2.4,Albany-Fraser Orogen,Proterozoic Orogens
185593,6.2,1409.0,474.0,0.4,Musgraves,Proterozoic Orogens
180867,16.2,158.5,337.2,2.2,Musgraves,Proterozoic Orogens
194728,28.1,115.9,0.7,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194381,53.1,220.9,154.4,0.7,Musgraves,Proterozoic Orogens
194742,9.1,82.6,1.9,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194722,29.1,225.6,17.9,0.1,Albany-Fraser Orogen,Proterozoic Orogens
192523,11.2,61.8,54.2,0.9,Albany-Fraser Orogen,Proterozoic Orogens
183596,52.1,164.0,192.0,1.2,Musgraves,Proterozoic Orogens
185606,10.2,3184.0,184.0,0.1,Musgraves,Proterozoic Orogens
194422,28.2,153.0,45.0,0.3,Musgraves,Proterozoic Orogens
180867,28.1,290.3,300.4,1.1,Musgraves,Proterozoic Orogens
199422,33.1,32.4,0.1,0.0,Basins,Basins
194393,20.1,99.0,260.0,2.7,Musgraves,Proterozoic Orogens
174737,17.1,34.0,82.0,2.5,Musgraves,Proterozoic Orogens
190651,31.1,515.4,1.3,0.0,Capricon Orogen,Proterozoic Orogens
174588,19.1,100.0,66.0,0.7,Musgraves,Proterozoic Orogens
183466,2.1,137.0,148.0,1.1,Musgraves,Proterozoic Orogens
184128,26.1,673.0,85.0,0.1,Albany-Fraser Orogen,Proterozoic Orogens
182435,2.1,86.0,159.4,1.9,Albany-Fraser Orogen,Proterozoic Orogens
189540,33.1,59.4,135.8,2.4,Musgraves,Proterozoic Orogens
194381,19.1,254.7,143.0,0.6,Musgraves,Proterozoic Orogens
191751,4.1,2573.9,468.1,0.2,Musgraves,Proterozoic Orogens
198532,7.2,461.1,13.6,0.0,Yilgarn,Archean Cratons
174558,6.1,134.0,57.0,0.4,Musgraves,Proterozoic Orogens
182475,20.1,97.6,28.9,0.3,Albany-Fraser Orogen,Proterozoic Orogens
187289,32.1,897.3,138.3,0.2,Musgraves,Proterozoic Orogens
182485,11.1,3658.9,320.2,0.1,Albany-Fraser Orogen,Proterozoic Orogens
194705,13.1,5702.3,30082.0,5.5,Albany-Fraser Orogen,Proterozoic Orogens
174558,14.2,156.0,64.0,0.4,Musgraves,Proterozoic Orogens
185593,46.1,439.0,223.0,0.5,Musgraves,Proterozoic Orogens
187109,32.1,1031.0,391.0,0.4,Musgraves,Proterozoic Orogens
180867,48.1,197.9,242.8,1.3,Musgraves,Proterozoic Orogens
195826,27.3,2565.3,17.8,0.0,Capricon Orogen,Proterozoic Orogens
187195,7.1,2319.7,120.8,0.1,Musgraves,Proterozoic Orogens
174558,25.1,108.0,56.0,0.5,Musgraves,Proterozoic Orogens
174737,27.1,28.0,87.0,3.3,Musgraves,Proterozoic Orogens
194422,12.1,133.0,29.0,0.2,Musgraves,Proterozoic Orogens
194718,2.1,168.1,106.2,0.7,Albany-Fraser Orogen,Proterozoic Orogens
189540,32.1,15.2,233.9,15.9,Musgraves,Proterozoic Orogens
194381,34.1,383.2,295.8,0.8,Musgraves,Proterozoic Orogens
192531,9.1,134.8,192.4,1.5,Albany-Fraser Orogen,Proterozoic Orogens
194802,17.1,2134.3,1097.0,0.5,Musgraves,Proterozoic Orogens
180867,42.1,127.5,396.4,3.2,Musgraves,Proterozoic Orogens
190651,27.1,319.5,1.1,0.0,Capricon Orogen,Proterozoic Orogens
174748,2.1,235.0,226.0,1.0,Musgraves,Proterozoic Orogens
183492,13.1,190.0,296.0,1.6,Musgraves,Proterozoic Orogens
183596,41.1,603.0,382.0,0.7,Musgraves,Proterozoic Orogens
98255,22.1,62.0,29.0,0.5,Yilgarn,Archean Cratons
194722,16.1,277.3,37.0,0.1,Albany-Fraser Orogen,Proterozoic Orogens
194718,1.1,139.3,66.6,0.5,Albany-Fraser Orogen,Proterozoic Orogens
194784,9.1,283.3,18.8,0.1,Albany-Fraser Orogen,Proterozoic Orogens
192532,12.1,26.8,21.3,0.8,Albany-Fraser Orogen,Proterozoic Orogens
182477,11.1,123.0,45.0,0.4,Albany-Fraser Orogen,Proterozoic Orogens
192524,20.1,57.5,161.1,2.9,Albany-Fraser Orogen,Proterozoic Orogens
174748,21.1,431.0,246.0,0.6,Musgraves,Proterozoic Orogens
183466,8.1,3244.0,187.0,0.1,Musgraves,Proterozoic Orogens
184161,31.1,480.0,7.0,0.0,Capricon Orogen,Proterozoic Orogens
184161,20.1,581.0,10.0,0.0,Capricon Orogen,Proterozoic Orogens
182475,8.2,146.4,7.4,0.1,Albany-Fraser Orogen,Proterozoic Orogens
190651,15.2,410.4,4.4,0.0,Capricon Orogen,Proterozoic Orogens
194767,6.1,699.2,12.2,0.0,Musgraves,Proterozoic Orogens
194802,21.1,3350.4,126.4,0.0,Musgraves,Proterozoic Orogens
187174,16.1,2304.9,296.0,0.1,Musgraves,Proterozoic Orogens
185593,26.1,347.0,154.0,0.5,Musgraves,Proterozoic Orogens
185593,9.1,385.0,236.0,0.6,Musgraves,Proterozoic Orogens
194381,29.1,276.5,103.4,0.4,Musgraves,Proterozoic Orogens
194802,10.1,2453.4,168.6,0.1,Musgraves,Proterozoic Orogens
194381,1.1,280.1,168.2,0.6,Musgraves,Proterozoic Orogens
192524,9.1,46.9,131.4,2.9,Albany-Fraser Orogen,Proterozoic Orogens
182485,15.1,2089.7,301.8,0.1,Albany-Fraser Orogen,Proterozoic Orogens
174558,10.1,178.0,60.0,0.4,Musgraves,Proterozoic Orogens
180057,38.1,108.0,44.0,0.4,Pilbara,Archean Cratons
184307,3.1,195.0,400.0,2.1,Albany-Fraser Orogen,Proterozoic Orogens
185593,35.1,386.0,172.0,0.5,Musgraves,Proterozoic Orogens
185942,10.2,527.0,8.0,0.0,Capricon Orogen,Proterozoic Orogens
194742,29.1,74.6,2.3,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194784,8.3,291.7,15.8,0.1,Albany-Fraser Orogen,Proterozoic Orogens
192523,18.2,77.6,55.2,0.7,Albany-Fraser Orogen,Proterozoic Orogens
190651,8.2,450.6,6.0,0.0,Capricon Orogen,Proterozoic Orogens
177908,15.1,377.0,87.0,0.2,Yilgarn,Archean Cratons
177908,15.1,377.0,87.0,0.2,Yilgarn,Archean Cratons
177910,20.2,238.0,30.0,0.1,Albany-Fraser Orogen,Proterozoic Orogens
180057,32.1,48.0,2.0,0.0,Pilbara,Archean Cratons
184123,9.1,1184.0,21.0,0.0,Albany-Fraser Orogen,Proterozoic Orogens
184160,10.1,365.0,13.0,0.0,Capricon Orogen,Proterozoic Orogens
187109,33.1,1385.0,341.0,0.3,Musgraves,Proterozoic Orogens
194381,60.1,232.0,379.5,1.7,Musgraves,Proterozoic Orogens
194381,18.1,311.8,238.5,0.8,Musgraves,Proterozoic Orogens
194740,24.1,132.3,1.6,0.0,Albany-Fraser Orogen,Proterozoic Orogens
182435,12.1,35.3,63.9,1.9,Albany-Fraser Orogen,Proterozoic Orogens
194767,20.1,1488.0,163.8,0.1,Musgraves,Proterozoic Orogens
182203,12.1,224.2,246.2,1.1,Albany-Fraser Orogen,Proterozoic Orogens
191751,1.1,2462.1,433.1,0.2,Musgraves,Proterozoic Orogens
195849,57.1,1993.6,24.9,0.0,Capricon Orogen,Proterozoic Orogens
180057,2.1,28.0,16.0,0.6,Pilbara,Archean Cratons
183587,8.1,203.0,165.0,0.8,Musgraves,Proterozoic Orogens
183596,5.1,509.0,73.0,0.2,Musgraves,Proterozoic Orogens
184161,36.1,569.0,8.0,0.0,Capricon Orogen,Proterozoic Orogens
187403,54.2,1072.0,6.0,0.0,Capricon Orogen,Proterozoic Orogens
194705,10.1,556.4,48.7,0.1,Albany-Fraser Orogen,Proterozoic Orogens
192531,10.1,106.5,108.4,1.1,Albany-Fraser Orogen,Proterozoic Orogens
182203,31.1,84.0,142.0,1.7,Albany-Fraser Orogen,Proterozoic Orogens
190651,33.1,434.0,25.0,0.1,Capricon Orogen,Proterozoic Orogens
192549,10.1,58.4,94.8,1.7,Albany-Fraser Orogen,Proterozoic Orogens
182203,6.1,124.5,159.2,1.3,Albany-Fraser Orogen,Proterozoic Orogens
194734,4.1,737.3,9.6,0.0,Albany-Fraser Orogen,Proterozoic Orogens
174737,7.1,33.0,84.0,2.7,Musgraves,Proterozoic Orogens
174748,16.2,669.0,293.0,0.5,Musgraves,Proterozoic Orogens
174748,16.3,310.0,438.0,1.5,Musgraves,Proterozoic Orogens
174748,1.2,223.0,356.0,1.7,Musgraves,Proterozoic Orogens
183496,16.1,40.0,73.0,1.9,Musgraves,Proterozoic Orogens
183596,43.1,242.0,219.0,0.9,Musgraves,Proterozoic Orogens
184123,15.1,1504.0,11.0,0.0,Albany-Fraser Orogen,Proterozoic Orogens
184161,40.1,530.0,9.0,0.0,Capricon Orogen,Proterozoic Orogens
187109,38.1,1763.0,491.0,0.3,Musgraves,Proterozoic Orogens
194718,13.1,196.1,123.2,0.6,Albany-Fraser Orogen,Proterozoic Orogens
195849,38.2,1806.0,2.6,0.0,Capricon Orogen,Proterozoic Orogens
182203,14.1,106.9,196.0,1.9,Albany-Fraser Orogen,Proterozoic Orogens
194734,20.1,672.0,7.9,0.0,Albany-Fraser Orogen,Proterozoic Orogens
192549,9.1,57.5,67.5,1.2,Albany-Fraser Orogen,Proterozoic Orogens
184307,5.1,99.0,236.0,2.5,Albany-Fraser Orogen,Proterozoic Orogens
194705,14.1,4403.4,88518.4,20.8,Albany-Fraser Orogen,Proterozoic Orogens
198532,12.1,574.7,10.5,0.0,Yilgarn,Archean Cratons
192549,7.1,59.7,74.6,1.3,Albany-Fraser Orogen,Proterozoic Orogens
191751,8.1,2546.3,469.7,0.2,Musgraves,Proterozoic Orogens
194709,19.1,506.3,282.6,0.6,Albany-Fraser Orogen,Proterozoic Orogens
194802,13.1,2745.8,150.9,0.1,Musgraves,Proterozoic Orogens
194708,7.1,190.8,1.0,0.0,Albany-Fraser Orogen,Proterozoic Orogens
182477,2.1,5877.6,399.5,0.1,Albany-Fraser Orogen,Proterozoic Orogens
174748,23.1,728.0,314.0,0.5,Musgraves,Proterozoic Orogens
177910,18.2,286.0,23.0,0.1,Albany-Fraser Orogen,Proterozoic Orogens
183492,15.1,282.0,525.0,1.9,Musgraves,Proterozoic Orogens
183492,31.1,615.0,134.0,0.2,Musgraves,Proterozoic Orogens
183596,55.1,244.0,153.0,0.7,Musgraves,Proterozoic Orogens
187403,32.1,1329.0,5.0,0.0,Capricon Orogen,Proterozoic Orogens
194722,25.1,267.6,14.2,0.1,Albany-Fraser Orogen,Proterozoic Orogens
194740,19.1,82.2,1.4,0.0,Albany-Fraser Orogen,Proterozoic Orogens
192531,13.1,157.4,96.0,0.6,Albany-Fraser Orogen,Proterozoic Orogens
183726,6.1,84.1,279.3,3.4,Musgraves,Proterozoic Orogens
194784,12.1,304.4,20.0,0.1,Albany-Fraser Orogen,Proterozoic Orogens
195849,24.2,1800.9,25.9,0.0,Capricon Orogen,Proterozoic Orogens
194433,2.1,362.0,177.9,0.5,Musgraves,Proterozoic Orogens
194433,14.1,1103.0,129.6,0.1,Musgraves,Proterozoic Orogens
198532,4.2,513.7,11.3,0.0,Yilgarn,Archean Cratons
192549,12.1,58.5,91.8,1.6,Albany-Fraser Orogen,Proterozoic Orogens
174558,20.2,212.0,154.0,0.8,Musgraves,Proterozoic Orogens
184125,26.1,2524.0,128.0,0.1,Albany-Fraser Orogen,Proterozoic Orogens
185508,40.1,582.0,203.0,0.4,Musgraves,Proterozoic Orogens
194422,27.2,109.0,16.0,0.2,Musgraves,Proterozoic Orogens
182203,9.1,196.8,209.6,1.1,Albany-Fraser Orogen,Proterozoic Orogens
187289,30.1,879.7,226.3,0.3,Musgraves,Proterozoic Orogens
194381,32.1,163.6,320.1,2.0,Musgraves,Proterozoic Orogens
194777,43.1,38.8,79.4,2.1,Basins,Basins
183726,2.2,93.1,423.5,4.7,Musgraves,Proterozoic Orogens
182475,17.1,141.0,28.2,0.2,Albany-Fraser Orogen,Proterozoic Orogens
194705,9.1,2383.9,45061.4,19.5,Albany-Fraser Orogen,Proterozoic Orogens
194714,35.1,110.9,133.1,1.2,Albany-Fraser Orogen,Proterozoic Orogens
187289,2.1,4056.1,100.6,0.0,Musgraves,Proterozoic Orogens
194725,17.1,70.6,0.4,0.0,Albany-Fraser Orogen,Proterozoic Orogens
192524,10.1,61.4,171.6,2.9,Albany-Fraser Orogen,Proterozoic Orogens
182473,22.1,1325.5,153.5,0.1,Albany-Fraser Orogen,Proterozoic Orogens
192531,4.1,43.5,34.8,0.8,Albany-Fraser Orogen,Proterozoic Orogens
105010,11.1,731.0,277.0,0.4,Yilgarn,Archean Cratons
105010,21.1,218.0,66.0,0.3,Yilgarn,Archean Cratons
142874,6.1,283.0,171.0,0.6,Pilbara,Archean Cratons
168949,12.1,979.0,23.0,0.0,Capricon Orogen,Proterozoic Orogens
174748,13.1,191.0,324.0,1.8,Musgraves,Proterozoic Orogens
177910,21.2,85.0,16.0,0.2,Albany-Fraser Orogen,Proterozoic Orogens
183587,24.1,212.0,184.0,0.9,Musgraves,Proterozoic Orogens
183596,1.1,286.0,95.0,0.3,Musgraves,Proterozoic Orogens
183596,2.2,665.0,29.0,0.0,Musgraves,Proterozoic Orogens
183596,47.1,515.0,229.0,0.5,Musgraves,Proterozoic Orogens
185593,43.1,233.0,104.0,0.5,Musgraves,Proterozoic Orogens
185593,15.1,492.0,234.0,0.5,Musgraves,Proterozoic Orogens
194422,9.1,115.0,31.0,0.3,Musgraves,Proterozoic Orogens
83662,1.1,2250.0,998.0,0.4,Albany-Fraser Orogen,Proterozoic Orogens
83676A,7.2,861.0,42.0,0.1,Albany-Fraser Orogen,Proterozoic Orogens
180867,38.1,107.0,218.2,2.1,Musgraves,Proterozoic Orogens
195849,49.1,1684.5,26.9,0.0,Capricon Orogen,Proterozoic Orogens
177910,13.2,276.0,33.0,0.1,Albany-Fraser Orogen,Proterozoic Orogens
180057,24.2,44.0,22.0,0.5,Pilbara,Archean Cratons
184123,14.1,1403.0,18.0,0.0,Albany-Fraser Orogen,Proterozoic Orogens
184160,56.1,274.0,8.0,0.0,Capricon Orogen,Proterozoic Orogens
185508,2.1,517.0,246.0,0.5,Musgraves,Proterozoic Orogens
185942,54.1,469.0,58.0,0.1,Capricon Orogen,Proterozoic Orogens
195849,55.1,1903.4,27.0,0.0,Capricon Orogen,Proterozoic Orogens
182203,16.1,453.4,184.9,0.4,Albany-Fraser Orogen,Proterozoic Orogens
194714,3.2,78.0,67.8,0.9,Albany-Fraser Orogen,Proterozoic Orogens
194701,27.1,295.1,10.2,0.0,Albany-Fraser Orogen,Proterozoic Orogens
192532,7.2,119.2,79.7,0.7,Albany-Fraser Orogen,Proterozoic Orogens
194778,37.1,124.0,140.2,1.2,Albany-Fraser Orogen,Proterozoic Orogens
194802,25.1,2307.4,120.2,0.1,Musgraves,Proterozoic Orogens
177910,16.2,83.0,15.0,0.2,Albany-Fraser Orogen,Proterozoic Orogens
183466,15.1,3194.0,26.0,0.0,Musgraves,Proterozoic Orogens
183587,49.1,1119.0,176.0,0.2,Musgraves,Proterozoic Orogens
185593,33.1,300.0,125.0,0.4,Musgraves,Proterozoic Orogens
185942,64.1,467.0,30.0,0.1,Capricon Orogen,Proterozoic Orogens
192552,9.1,34.6,36.0,1.1,Albany-Fraser Orogen,Proterozoic Orogens
182435,10.1,34.0,53.2,1.6,Albany-Fraser Orogen,Proterozoic Orogens
192524,14.1,51.5,147.0,3.0,Albany-Fraser Orogen,Proterozoic Orogens
192552,5.1,87.3,32.6,0.4,Albany-Fraser Orogen,Proterozoic Orogens
194722,24.1,214.8,4.9,0.0,Albany-Fraser Orogen,Proterozoic Orogens
183726,29.1,123.8,209.5,1.7,Musgraves,Proterozoic Orogens
189540,41.1,19.5,127.0,6.7,Musgraves,Proterozoic Orogens
187289,1.1,894.8,112.9,0.1,Musgraves,Proterozoic Orogens
194381,6.1,248.3,139.4,0.6,Musgraves,Proterozoic Orogens
191751,6.1,2084.7,510.9,0.3,Musgraves,Proterozoic Orogens
182477,9.1,59.8,29.6,0.5,Albany-Fraser Orogen,Proterozoic Orogens
194381,26.1,269.9,252.6,1.0,Musgraves,Proterozoic Orogens
174748,35.2,585.0,275.0,0.5,Musgraves,Proterozoic Orogens
183496,15.2,202.0,166.0,0.9,Musgraves,Proterozoic Orogens
184312,19.1,85.0,133.0,1.6,Albany-Fraser Orogen,Proterozoic Orogens
194767,21.1,418.7,204.6,0.5,Musgraves,Proterozoic Orogens
192531,16.1,150.8,189.1,1.3,Albany-Fraser Orogen,Proterozoic Orogens
194701,42.1,326.3,36.8,0.1,Albany-Fraser Orogen,Proterozoic Orogens
194722,11.1,191.7,32.8,0.2,Albany-Fraser Orogen,Proterozoic Orogens
194767,19.1,800.8,92.3,0.1,Musgraves,Proterozoic Orogens
183587,11.1,397.0,158.0,0.4,Musgraves,Proterozoic Orogens
183596,14.1,376.0,231.0,0.6,Musgraves,Proterozoic Orogens
183596,24.1,378.0,316.0,0.9,Musgraves,Proterozoic Orogens
184123,27.1,521.0,10.0,0.0,Albany-Fraser Orogen,Proterozoic Orogens
184312,16.1,31.0,58.0,1.9,Albany-Fraser Orogen,Proterozoic Orogens
192532,8.1,105.7,60.8,0.6,Albany-Fraser Orogen,Proterozoic Orogens
192549,6.1,56.3,53.3,1.0,Albany-Fraser Orogen,Proterozoic Orogens
194718,9.1,92.9,39.3,0.4,Albany-Fraser Orogen,Proterozoic Orogens
194714,3.1,173.7,92.4,0.5,Albany-Fraser Orogen,Proterozoic Orogens
194802,33.1,2468.2,142.7,0.1,Musgraves,Proterozoic Orogens
198532,6.1,802.7,8.3,0.0,Yilgarn,Archean Cratons
191751,18.1,492.4,139.1,0.3,Musgraves,Proterozoic Orogens
194802,22.1,4470.7,223.1,0.1,Musgraves,Proterozoic Orogens
194381,3.1,338.3,418.2,1.3,Musgraves,Proterozoic Orogens
194714,25.1,111.0,149.8,1.4,Albany-Fraser Orogen,Proterozoic Orogens
182435,1.1,82.4,143.4,1.8,Albany-Fraser Orogen,Proterozoic Orogens
174558,7.1,102.0,48.0,0.5,Musgraves,Proterozoic Orogens
180057,12.1,70.0,18.0,0.3,Pilbara,Archean Cratons
183466,2.2,1720.0,164.0,0.1,Musgraves,Proterozoic Orogens
183466,59.2,3191.0,43.0,0.0,Musgraves,Proterozoic Orogens
183587,9.1,596.0,164.0,0.3,Musgraves,Proterozoic Orogens
183596,33.2,398.0,9.0,0.0,Musgraves,Proterozoic Orogens
183596,38.1,235.0,178.0,0.8,Musgraves,Proterozoic Orogens
184161,19.1,538.0,20.0,0.0,Capricon Orogen,Proterozoic Orogens
194422,38.2,137.0,27.0,0.2,Musgraves,Proterozoic Orogens
198532,3.2,562.2,9.0,0.0,Yilgarn,Archean Cratons
180867,2.2,234.3,274.1,1.2,Musgraves,Proterozoic Orogens
194702,1.1,149.0,0.6,0.0,Albany-Fraser Orogen,Proterozoic Orogens
184150,14.1,290.0,82.3,0.3,Musgraves,Proterozoic Orogens
189540,7.1,34.6,176.9,5.3,Musgraves,Proterozoic Orogens
194705,12.1,2338.1,54993.8,24.3,Albany-Fraser Orogen,Proterozoic Orogens
183726,30.2,563.7,395.8,0.7,Musgraves,Proterozoic Orogens
182203,10.1,93.3,284.1,3.1,Albany-Fraser Orogen,Proterozoic Orogens
194802,9.1,2665.3,151.6,0.1,Musgraves,Proterozoic Orogens
194701,25.1,58.8,0.2,0.0,Albany-Fraser Orogen,Proterozoic Orogens
194778,38.2,50.8,30.1,0.6,Albany-Fraser Orogen,Proterozoic Orogens
194714,46.1,52.1,51.0,1.0,Albany-Fraser Orogen,Proterozoic Orogens
195849,46.1,1387.7,23.0,0.0,Capricon Orogen,Proterozoic Orogens
194722,13.1,210.8,8.9,0.0,Albany-Fraser Orogen,Proterozoic Orogens
182473,14.1,591.0,30.0,0.1,Albany-Fraser Orogen,Proterozoic Orogens
183466,21.1,3730.0,51.0,0.0,Musgraves,Proterozoic Orogens
185508,39.1,362.0,222.0,0.6,Musgraves,Proterozoic Orogens
185593,36.2,417.0,209.0,0.5,Musgraves,Proterozoic Orogens
194422,45.1,117.0,28.0,0.3,Musgraves,Proterozoic Orogens
194718,12.1,567.6,672.3,1.2,Albany-Fraser Orogen,Proterozoic Orogens
187289,5.1,2078.0,47.6,0.0,Musgraves,Proterozoic Orogens
194381,48.1,312.4,189.9,0.6,Musgraves,Proterozoic Orogens
194381,23.1,181.7,337.7,1.9,Musgraves,Proterozoic Orogens
192531,17.1,63.4,57.8,0.9,Albany-Fraser Orogen,Proterozoic Orogens
